Juventude	B-OBRA_PLANO
?	O
Sim.	O
O	O
associado	O
não	O
perde	O
essa	O
condição	O
no	O
caso	O
de	O
aposentaria	O
(	O
art.	O
4	B-TEMPO_TEMPO_CALEND
,	O
inc.	O
IV	B-PESSOA_INDIVIDUAL
,	O
do	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
)	O
.	O
Lembramos	O
que	O
diversos	O
associados	O
,	O
inclusive	O
integrantes	O
de	O
nossa	O
diretoria	O
,	O
encontram-se	O
aposentados.	O
1.3.	O
Associados	O
aposentados	O
pagam	O
mensalidades	O
?	O
Sim.	O
A	O
situação	O
do	O
associado	O
aposentado	O
não	O
difere	O
em	B-TEMPO_TEMPO_CALEND
nada	O
da	O
situação	O
do	O
associado	O
em	B-TEMPO_TEMPO_CALEND
exercício.	O
Pode	O
ele	O
candidatar-se	O
a	B-TEMPO_TEMPO_CALEND
cargo	O
de	O
diretor	B-PESSOA_INDIVIDUAL
,	O
participar	O
de	O
todos	O
os	O
eventos	O
,	O
escrever	O
nas	O
publicações	O
do	O
IBAP	O
,	O
participar	O
da	O
Lista	B-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Debates	O
da	O
Internet	O
,	O
enfim	O
,	O
exercer	O
plenamente	O
os	O
seus	O
direitos	O
associativos.	O
Eventualmente	O
,	O
se	O
o	O
associado	O
aposentado	O
estiver	O
enfrentando	O
dificuldades	O
financeiras	O
,	O
poderá	O
requerer	O
a	B-TEMPO_TEMPO_CALEND
isenção	O
temporária	O
do	O
pagamento	O
de	O
mensalidades	O
à	O
Coordenadoria	O
Financeira	O
do	O
IBAP	O
.	O
2	B-TEMPO_TEMPO_CALEND
-	O
ESTAGIÁRIOS/AS	O
2.1.	O
Estagiário/a	O
de	O
Direito	O
pode	O
associar-se	O
?	O
Sim.	O
O	O
art.	O
3	B-TEMPO_TEMPO_CALEND
,	O
inciso	O
II	B-ACONTECIMENTO_ORGANIZADO
,	O
letra	O
``	O
b	O
''	B-PESSOA_INDIVIDUAL
,	O
do	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
,	O
estabelece	O
que	O
os	O
acadêmicos	O
de	O
Direito	O
em	B-TEMPO_TEMPO_CALEND
estágio	O
nos	O
órgãos	O
de	O
Advocacia	O
Pública	B-LOCAL_HUMANO
,	O
enquanto	O
perdurar	O
tal	O
situação	O
,	O
podem	O
integrar	O
o	O
IBAP	O
,	O
na	O
qualidade	O
de	O
associados	O
estagiários.	O
2.2.	O
Estagiários/as	O
pagam	O
mensalidades	O
?	O
Não.	O
Não	O
obstante	O
inexista	O
a	B-TEMPO_TEMPO_CALEND
previsão	O
de	O
isenção	O
no	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
,	O
a	B-TEMPO_TEMPO_CALEND
Coordenadoria	O
Geral	B-ORGANIZACAO_INSTITUICAO
do	I-ORGANIZACAO_INSTITUICAO
IBAP	O
,	O
acolhendo	O
a	B-TEMPO_TEMPO_CALEND
parecer	O
de	O
sua	O
Coordenadoria	O
Financeira	O
,	O
tem	O
adotado	O
desde	B-TEMPO_TEMPO_CALEND
agosto	I-TEMPO_TEMPO_CALEND
de	O
1996	B-TEMPO_TEMPO_CALEND
o	O
entendimento	O
de	O
que	O
os	O
acadêmicos	O
de	O
Direito	O
não	O
devem	O
pagar	O
mensalidades	O
,	O
visto	O
que	O
não	O
podem	O
votar	O
ou	O
se	O
candidatar	O
a	B-TEMPO_TEMPO_CALEND
cargo	O
de	O
membro	O
da	O
Coordenadoria	O
Geral	B-ORGANIZACAO_INSTITUICAO
ou	O
do	O
Conselho	B-ORGANIZACAO_INSTITUICAO
Assessor	O
(	O
art.	O
11	B-VALOR_QUANTIDADE
do	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
)	O
.	O
2.3.	O
Existem	O
estagiários	O
a	O
serviço	O
do	O
próprio	O
IBAP	O
?	O
Atualmente	O
,	O
não	O
(	O
abril/2000	O
)	O
.	O
Todavia	O
,	O
nada	O
impede	O
a	B-TEMPO_TEMPO_CALEND
alteração	O
deste	O
quadro	O
,	O
na	O
hipótese	O
do	O
crescimento	O
da	O
atuação	O
do	O
IBAP	O
em	B-TEMPO_TEMPO_CALEND
juízo	O
justificar	O
a	B-TEMPO_TEMPO_CALEND
contratação	O
de	O
um	O
corpo	O
de	O
estagiários.	O
3	B-TEMPO_TEMPO_CALEND
-	O
ADVOGADOS/AS	O
PÚBLICOS/AS	O
EM	O
ATIVIDADE	O
3.1.	O
Qual	O
é	O
o	O
conceito	O
de	O
``	O
Advogado	O
Público	O
``	O
adotado	O
pelo	O
IBAP	O
?	O
São	B-LOCAL_HUMANO
Advogados	O
Públicos	O
,	O
para	O
efeito	O
de	O
inscrição	O
nos	O
quadros	O
do	O
IBAP	O
os	O
integrantes	O
da	O
Advocacia-Geral	O
da	O
União	B-ORGANIZACAO_ADMINISTRACAO
,	O
da	O
Procuradoria	O
da	O
Fazenda	O
Nacional	B-ORGANIZACAO_INSTITUICAO
,	O
da	O
Defensoria	O
Pública	B-LOCAL_HUMANO
e	O
das	O
Procuradorias	O
e	O
Consultorias	O
Jurídicas	O
dos	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
,	O
do	O
Distrito	B-LOCAL_HUMANO
Federal	I-LOCAL_HUMANO
,	O
dos	O
Municípios	O
e	O
das	O
respectivas	O
entidades	O
da	O
administração	O
indireta	O
(	O
autarquias	O
,	O
sociedades	O
de	O
economia	O
mista	O
e	O
empresas	O
públicas	O
)	O
e	O
fundacional	O
(	O
Art.	O
3°	O
,	O
§	O
1°	O
,	O
da	O
Lei	B-OBRA_PLANO
Federal	B-LOCAL_HUMANO
8.906	O
,	O
de	B-TEMPO_TEMPO_CALEND
4	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
julho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
-	O
Estatuto	O
da	O
Advocacia	O
e	O
a	B-TEMPO_TEMPO_CALEND
Ordem	O
dos	O
Advogados	O
do	O
Brasil	B-LOCAL_HUMANO
)	O
.	O
3.2.	O
Qual	O
é	O
o	O
valor	O
das	O
mensalidades	O
?	O
Desde	O
o	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
1°	O
de	O
junho	B-TEMPO_TEMPO_CALEND
de	O
1999	B-TEMPO_TEMPO_CALEND
o	O
valor	O
da	O
mensalidade	O
é	O
de	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
20,00	O
(	O
vinte	O
reais	O
)	O
.	O
Nos	B-TEMPO_TEMPO_CALEND
débitos	O
automáticos	O
e	O
boletos	O
é	O
acrescido	O
o	O
valor	O
de	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
2,00	O
(	O
dois	O
reais	O
)	O
,	O
relativo	O
a	O
taxa	O
bancária.	O
4	B-TEMPO_TEMPO_CALEND
-	O
ESTRUTURA	O
ORGANIZACIONAL	O
DO	O
IBAP	O
4.1.	O
Onde	O
é	O
a	O
sede	O
do	O
IBAP	O
?	O
A	O
sede	O
do	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Brasileiro	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
é	O
na	O
Avenida	B-LOCAL_HUMANO
da	O
Liberdade	B-OBRA_ARTE
,	O
21	B-TEMPO_TEMPO_CALEND
-	O
10°	O
Andar	O
-	O
Salas	O
1008	O
a	B-TEMPO_TEMPO_CALEND
1012	O
-	O
Bairro	O
da	O
Liberdade	B-OBRA_ARTE
-	O
CEP	O
01503-000	O
-	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
/	O
SP	O
.	O
4.2.	O
Os	O
diretores	O
do	O
IBAP	O
têm	O
afastamento	O
da	O
carreira	O
para	O
o	O
exercício	O
de	O
seu	O
mandato	O
?	O
Não.	O
Todos	B-LOCAL_HUMANO
os	I-LOCAL_HUMANO
diretores	O
do	O
IBAP	O
exercem	O
as	O
suas	O
atividades	O
estatutárias	O
sem	O
prejuízo	O
de	O
suas	O
funções	O
como	O
Advogados	O
Públicos	O
.	O
4.3.	O
Quem	O
é	O
o	O
presidente	O
do	O
IBAP	O
?	O
A	O
Diretoria	B-ORGANIZACAO_ADMINISTRACAO
do	O
IBAP	O
tem	O
estrutura	O
colegiada.	O
A	O
Diretoria	B-ORGANIZACAO_ADMINISTRACAO
Nacional	B-OBRA_ARTE
é	O
formada	O
por	O
oito	O
coordenadores	O
gerais	O
e	O
um	O
conselho	O
assessor	O
formado	O
por	O
seis	O
associados	O
eleitos	O
em	B-TEMPO_TEMPO_CALEND
Assembléia	O
Geral	B-ORGANIZACAO_INSTITUICAO
.	O
4.4.	O
Qual	O
é	O
a	B-TEMPO_TEMPO_CALEND
destinação	O
da	O
verba	O
obtida	O
com	O
o	O
pagamento	O
das	O
mensalidades	O
?	O
Os	O
associados	O
regulares	O
do	O
IBAP	O
contribuem	O
mensalmente	O
com	O
o	O
pagamento	O
de	O
taxa	O
de	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
22,00	O
(	O
vinte	O
e	B-TEMPO_DURACAO
dois	O
reais	O
)	O
.	O
Desse	O
total	O
,	O
R	B-VALOR_MOEDA
$	I-VALOR_MOEDA
2,00	O
(	O
dois	O
reais	O
)	O
constituem	O
taxa	O
bancária	O
pelo	O
serviço	O
de	O
confecção	O
de	O
boletos	O
ou	O
de	O
débito	O
automático	O
em	B-TEMPO_TEMPO_CALEND
conta.	O
A	O
verba	O
destina-se	O
ao	O
pagamento	O
de	O
locação	O
da	O
sede	O
social	O
do	O
IBAP	O
,	O
salários	O
de	O
dois	O
funcionários	O
,	O
despesas	O
com	O
telefone	O
,	O
hospedagem	O
de	O
home-page	O
,	O
acesso	O
a	B-TEMPO_TEMPO_CALEND
provedor	O
de	O
Internet	O
,	O
impressão	O
de	O
livros	O
,	O
revistas	O
e	O
boletins	O
,	O
organização	O
de	O
congressos	O
e	O
outras	O
despesas	O
diretamente	O
relacionadas	O
com	O
os	O
objetivos	O
estatutários.	O
4.5.	O
Onde	O
se	O
acha	O
registrado	O
o	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
?	O
O	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
está	O
registrado	O
no	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP.	O
4.6.	O
Como	O
posso	O
obter	O
cópia	O
do	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
?	O
A	O
íntegra	O
do	O
Estatuto	O
Social	B-ORGANIZACAO_INSTITUICAO
do	O
IBAP	O
encontra-se	O
disponível	O
nesta	O
home-page	O
:	B-OBRA_REPRODUZIDA
http	O
:	O
//www.ibap.org/estatuto.htm	O
5	B-VALOR_MOEDA
-	O
ATIVIDADES	O
DO	O
IBAP	O
VIA	O
INTERNET	O
5.1.	O
Preciso	O
estar	O
conectado/a	O
à	O
Internet	O
para	O
participar	O
do	O
IBAP	O
?	O
Não	O
obstante	O
seja	O
intensa	O
a	O
atividade	O
do	O
IBAP	O
desenvolvida	O
no	O
âmbito	O
da	O
Internet	O
(	O
home-page	O
,	O
conferência	O
eletrônica	O
e	O
lista	O
de	O
debates	O
)	O
,	O
aproximadamente	B-VALOR_QUANTIDADE
50	B-VALOR_MOEDA
%	B-VALOR_QUANTIDADE
dos	O
associados	O
não	O
tem	O
acesso	O
a	O
essa	O
facilidade.	O
Não	O
há	O
absolutamente	O
nenhuma	O
necessidade	O
de	O
conectar-se	O
à	O
Internet	O
para	O
participar	O
das	O
atividades	O
desenvolvidas	O
pelo	O
IBAP	O
.	O
5.2.	O
O	O
que	O
é	O
a	B-TEMPO_TEMPO_CALEND
Lista	B-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Debates	O
do	O
IBAP	O
?	O
Listas	O
de	O
debates	O
funcionam	O
como	O
um	O
jornal	O
onde	O
todos	O
podem	O
ler	O
e	O
escrever	O
sobre	O
determinado	O
assunto.	O
Os	O
associados	O
inscritos	O
na	O
lista	O
de	O
debates	O
podem	O
enviar	O
através	O
de	O
um	O
único	O
e-mail	O
qualquer	O
mensagem	O
a	B-TEMPO_TEMPO_CALEND
centenas	O
de	O
outros	O
associados	O
também	O
inscritos	O
na	O
mesma	O
lista.	O
Eventualmente	O
,	O
o	O
associado	O
poderá	O
participar	O
da	O
lista	O
apenas	O
como	O
leitor.	O
5.3.	O
Como	O
faço	O
para	O
participar	O
da	O
Lista	B-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Debates	O
do	O
IBAP	O
?	O
As	O
informações	O
básicas	O
para	O
acesso	O
às	O
listas	O
encontram-se	O
em	O
nossa	O
home-page	O
:	B-OBRA_REPRODUZIDA
http	O
:	O
//www.ibap.org/listas/insc_listas.htm	O
6	B-TEMPO_TEMPO_CALEND
-	O
PUBLICAÇÕES	O
DO	O
IBAP	O
6.1.	O
Quais	O
são	O
as	O
publicações	O
editadas	O
pelo	O
IBAP	O
?	O
O	O
IBAP	O
já	O
editou	O
três	B-TEMPO_TEMPO_CALEND
volumes	O
da	O
Série	O
Advocacia	O
Pública	B-LOCAL_HUMANO
e	O
Sociedade	B-ORGANIZACAO_INSTITUICAO
:	B-OBRA_REPRODUZIDA
``	O
Direitos	B-ACONTECIMENTO_EVENTO
da	O
Pessoa	B-PESSOA_INDIVIDUAL
Portadora	O
de	O
Deficiência	O
``	O
,	O
``	O
Primeiro	B-ACONTECIMENTO_ORGANIZADO
Congresso	I-ACONTECIMENTO_ORGANIZADO
Brasileiro	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
``	O
e	O
``	O
Temas	O
de	O
Direito	O
Ambiental	O
e	O
Urbanístico	O
``	O
,	O
todos	O
pela	O
Editora	O
Max	B-PESSOA_INDIVIDUAL
Limonad	O
e	O
distribuídos	O
gratuitamente	O
aos	O
associados	O
regulares.	O
No	B-TEMPO_TEMPO_CALEND
mês	I-TEMPO_TEMPO_CALEND
de	O
maio	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
estará	O
sendo	O
lançado	O
o	O
livro	O
``	O
Temas	O
de	O
Direito	O
Constitucional	O
-	O
Estudos	B-ORGANIZACAO_INSTITUICAO
em	B-TEMPO_TEMPO_CALEND
Homenagem	O
ao	O
Advogado	O
Público	O
André	B-PESSOA_INDIVIDUAL
Franco	O
Montoro	O
``	O
,	O
pela	O
Editora	O
Esplanada	O
,	O
também	O
com	O
distribuição	O
gratuita	O
para	O
associados	O
regulares.	O
Além	O
de	O
livros	O
,	O
o	O
IBAP	O
também	O
publica	O
trimestralmente	O
a	B-TEMPO_TEMPO_CALEND
Revista	O
Advocacia	O
Pública	B-LOCAL_HUMANO
que	O
,	O
no	O
mês	B-TEMPO_TEMPO_CALEND
de	O
abril	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
já	O
se	O
encontrava	O
em	O
sua	O
nona	O
edição.	O
A	O
partir	O
de	B-TEMPO_TEMPO_CALEND
maio	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
estará	O
sendo	O
lançada	O
a	B-TEMPO_TEMPO_CALEND
Revista	O
de	O
Direitos	B-ACONTECIMENTO_EVENTO
Difusos	O
,	O
com	O
mais	O
de	O
100	B-VALOR_MOEDA
páginas	O
e	O
periodicidade	O
bimestral	O
,	O
distribuída	O
também	O
gratuitamente	O
aos	O
associados	O
regulares.	O
O	O
IBAP	O
também	O
publicou	O
a	B-TEMPO_TEMPO_CALEND
Série	O
Advocacia	O
Pública	B-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
Debate	O
,	O
consiscia	O
Internet.	O
6.2.	O
Como	O
faço	O
para	O
publicar	O
meu	O
artigo	O
numa	O
edição	O
do	O
IBAP	O
?	O
Todas	O
as	O
colaborações	O
de	O
associados	O
são	O
submetidas	O
a	B-TEMPO_TEMPO_CALEND
exame	O
prévio	O
da	O
Comissão	B-ORGANIZACAO_ADMINISTRACAO
Editorial	O
.	O
Os	O
associados	O
poderão	O
remeter	O
sua	O
colaboração	O
,	O
em	B-TEMPO_TEMPO_CALEND
arquivo	O
word	O
,	O
via	O
e-mail	O
(	O
ibap	O
@	O
ibap.org	O
)	O
ou	O
diretamente	O
,	O
na	O
sede	O
do	O
IBAP	O
,	O
em	B-TEMPO_TEMPO_CALEND
disquete.	O
7	B-TEMPO_TEMPO_CALEND
-	O
EVENTOS	O
REALIZADOS/APOIADOS	O
PELO	O
IBAP	O
7.1.	O
Que	B-OBRA_REPRODUZIDA
eventos	O
já	O
realizou	O
o	O
IBAP	O
até	O
hoje	B-TEMPO_GENERICO
?	O
Estamos	O
arquivando	O
em	O
nossa	O
home-page	O
todos	O
os	O
eventos	O
já	O
realizados.	O
Neste	O
endereço	O
,	O
você	O
poderá	O
conhecer	O
alguns	O
deles	O
:	B-OBRA_REPRODUZIDA
Cursos	O
,	O
Seminários	O
e	O
Coongressos	O
já	O
realizados	O
7.2.	O
Quais	O
eventos	O
planeja	O
o	O
IBAP	O
realizar	O
?	O
Estamos	O
inserindo	O
em	O
nossa	O
home-page	O
a	O
programação	O
dos	O
próximos	B-TEMPO_TEMPO_CALEND
eventos.	O
Aqui	O
,	O
você	O
poderá	O
obter	O
algumas	O
informações	O
:	B-OBRA_REPRODUZIDA
Próximos	O
Cursos	O
,	O
Semiinários	O
e	O
Congressos	O
7.3.	O
O	O
IBAP	O
realiza	O
eventos	O
fora	O
do	O
Estado	B-PESSOA_CARGO
de	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
?	O
Os	O
eventos	O
promovidos	O
pelo	O
IBAP	O
são	O
realizados	O
em	O
todo	O
o	O
território	O
nacional	O
e	O
não	O
apenas	O
na	O
cidade	O
onde	O
se	O
localiza	O
sua	O
sede	O
social.	O
O	O
I	B-LOCAL_VIRTUAL
Congresso	B-ACONTECIMENTO_ORGANIZADO
Brasileiro	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
foi	O
promovido	O
em	B-TEMPO_TEMPO_CALEND
1997	I-TEMPO_TEMPO_CALEND
na	O
cidade	O
de	O
Campos	O
do	O
Jordão	O
/	O
SP	O
.	O
O	O
II	B-ACONTECIMENTO_ORGANIZADO
Congresso	I-ACONTECIMENTO_ORGANIZADO
foi	O
promovido	O
em	B-TEMPO_TEMPO_CALEND
1998	I-TEMPO_TEMPO_CALEND
em	O
São	B-LOCAL_HUMANO
Lourenço	B-PESSOA_INDIVIDUAL
/	O
MG	O
.	O
O	O
III	B-PESSOA_INDIVIDUAL
Congresso	B-ACONTECIMENTO_ORGANIZADO
foi	O
promovido	O
em	B-TEMPO_TEMPO_CALEND
junho	I-TEMPO_TEMPO_CALEND
de	O
1999	B-TEMPO_TEMPO_CALEND
em	O
Salvador	B-LOCAL_HUMANO
/	O
BA	B-LOCAL_HUMANO
.	O
O	O
IV	B-PESSOA_INDIVIDUAL
Congresso	B-ACONTECIMENTO_ORGANIZADO
Brasileiro	I-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
será	O
realizado	O
em	B-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
,	O
em	B-TEMPO_TEMPO_CALEND
Teresópolis	O
,	O
no	O
Estado	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Rio	I-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Janeiro	I-LOCAL_HUMANO
.	O
As	O
atividades	O
desenvolvidas	O
nos	O
diversos	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
Federados	O
são	O
organizadas	O
pelos	O
Coordenadores	O
Regionais	O
.	O
8	B-VALOR_QUANTIDADE
-	O
IBAP	O
EM	O
AÇÃO	O
:	B-OBRA_REPRODUZIDA
NOSSAS	O
LUTAS	O
E	O
CAMPANHAS	O
8.1.	O
O	O
IBAP	O
é	O
vinculado	O
a	O
algum	O
partido	O
político	O
?	O
R	B-VALOR_MOEDA
:	B-OBRA_REPRODUZIDA
Não.	O
O	O
IBAP	O
não	O
tem	O
vinculação	O
partidária	O
alguma.	O
Não	O
há	O
,	O
porém	O
,	O
que	O
se	O
confundir	O
apartidarismo	O
político	O
com	O
neutralidade	O
política.	O
Para	O
a	B-TEMPO_TEMPO_CALEND
implementação	O
dos	O
princípios	O
fundamentais	O
e	O
objetivos	O
estatutários	O
,	O
o	O
IBAP	O
sempre	O
haverá	O
de	O
manifestar-se	O
publicamente	O
em	B-TEMPO_TEMPO_CALEND
prol	O
de	O
um	O
modelo	O
de	O
sociedade	O
no	O
qual	O
prevaleça	O
a	B-TEMPO_TEMPO_CALEND
valorização	O
do	O
ser	O
humano	O
e	O
o	O
repúdio	O
a	B-TEMPO_TEMPO_CALEND
todas	O
as	O
formas	O
de	O
opressão	O
ou	O
aviltamento	O
da	O
dignidade	O
humana	O
;	O
na	O
defesa	O
da	O
manutenção	O
da	O
ordem	O
constitucional	O
dentro	O
de	O
um	O
Estado	B-PESSOA_CARGO
Democrático	O
de	O
Direito	O
cuja	O
ordem	O
social	O
tenha	O
como	O
base	O
o	O
primado	O
do	O
trabalho	O
e	O
como	O
objetivo	O
o	O
bem	O
estar	O
e	O
a	B-TEMPO_TEMPO_CALEND
justiça	O
sociais	O
;	O
na	O
defesa	O
intransigente	O
dos	O
princípios	O
da	O
moralidade	O
,	O
da	O
impessoalidade	O
,	O
da	O
publicidade	O
,	O
da	O
indisponibilidade	O
do	O
interesse	O
público	O
e	O
da	O
legalidade	O
no	O
âmbito	O
da	O
Administração	B-ORGANIZACAO_INSTITUICAO
Pública	B-LOCAL_HUMANO
.	O
O	O
IBAP	O
atua	O
concretamente	O
,	O
através	O
de	O
propostas	O
ou	O
denúncias	O
,	O
na	O
defesa	O
da	O
consolidação	O
democrática	O
do	O
Brasil	B-LOCAL_HUMANO
e	O
na	O
defesa	O
das	O
prerrogativas	O
do	O
Advogado	O
Público	O
.	O
8.2.	O
O	O
IBAP	O
é	O
associado	O
a	B-TEMPO_TEMPO_CALEND
alguma	O
entidade	O
internacional	O
?	O
R	B-VALOR_MOEDA
:	B-OBRA_REPRODUZIDA
Não	O
,	O
a	B-TEMPO_TEMPO_CALEND
despeito	O
de	O
atuar	O
em	B-TEMPO_TEMPO_CALEND
harmonia	O
com	O
as	O
diretrizes	O
de	O
determinadas	O
Organizações	O
Internacionais	O
,	O
como	O
a	B-TEMPO_TEMPO_CALEND
Anistia	O
Internacional	B-ACONTECIMENTO_ORGANIZADO
,	O
o	O
IBAP	O
não	O
mantém	O
nenhum	O
vínculo	O
com	O
entidades	O
internacionais.	O
8.3.	O
O	O
que	O
o	O
IBAP	O
fez	O
e	O
faz	O
pela	O
institucionalização	O
dos	O
órgãos	O
de	O
Advocacia	O
Pública	B-LOCAL_HUMANO
?	O
R	B-VALOR_MOEDA
:	B-OBRA_REPRODUZIDA
A	O
luta	O
pela	O
institucionalização	O
dos	O
órgãos	O
de	O
Advocacia	O
Pública	B-LOCAL_HUMANO
constitui	O
uma	O
das	O
principais	O
bandeiras	O
do	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Brasileiro	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
e	O
está	O
,	O
na	O
realidade	O
,	O
presente	O
em	O
praticamente	O
todas	O
as	O
manifestações	O
públicas	O
do	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Brasileiro	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
.	O
O	O
editorial	O
do	O
Boletim	O
Advocacia	O
Pública	B-LOCAL_HUMANO
n.	O
1	O
,	O
intitulado	O
``	O
Institucionalização	O
dos	O
Órgãos	O
de	O
Advocacia	O
Pública	B-LOCAL_HUMANO
``	O
,	O
oferece	O
as	O
diretrizes	O
básicas	O
de	O
nossa	O
linha	O
de	O
atuação.	O
Esse	B-TEMPO_TEMPO_CALEND
tema	O
abriu	O
o	O
primeiro	O
evento	O
cultural	O
realizado	O
pelo	O
IBAP	O
,	O
o	O
Primeiro	B-ACONTECIMENTO_ORGANIZADO
Seminário	O
Estadual	O
``	O
Advocacia	O
Pública	B-LOCAL_HUMANO
e	O
Sociedade	B-ORGANIZACAO_INSTITUICAO
''	B-PESSOA_INDIVIDUAL
,	O
realizado	O
em	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
/	O
SP	O
,	O
no	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
.	O
No	B-TEMPO_FREQUENCIA
dia	I-TEMPO_FREQUENCIA
25	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
outubro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
,	O
no	O
Auditório	O
Pedroso	O
Horta	O
,	O
da	O
Câmara	B-ORGANIZACAO_ADMINISTRACAO
Municipal	B-LOCAL_HUMANO
de	B-ORGANIZACAO_INSTITUICAO
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
,	O
aproximadamente	B-VALOR_QUANTIDADE
150	I-VALOR_QUANTIDADE
operadores	O
do	O
Direito	O
assistiram	O
as	O
palestras	O
de	O
Cláudia	O
Aparecida	O
de	O
Souza	B-LOCAL_HUMANO
Trindade	O
(	O
Procuradoria	O
da	O
Fazenda	O
Nacional	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
Márcio	O
Cammarosano	O
(	O
Procuradoria	O
do	O
Município	O
de	O
Santo	B-PESSOA_INDIVIDUAL
André	B-PESSOA_INDIVIDUAL
)	O
,	O
Paulo	B-PESSOA_INDIVIDUAL
Francisco	I-PESSOA_INDIVIDUAL
Von	O
Bruck	O
Lacerda	O
(	O
Procuradoria	O
Geral	B-ORGANIZACAO_INSTITUICAO
do	I-ORGANIZACAO_INSTITUICAO
do	O
Estado	B-PESSOA_CARGO
de	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
)	O
e	O
Walkure	O
Lopes	B-PESSOA_INDIVIDUAL
Ribeiro	I-PESSOA_INDIVIDUAL
da	O
Silva	B-PESSOA_INDIVIDUAL
(	O
Professora	O
da	O
Faculdade	B-ORGANIZACAO_INSTITUICAO
de	O
Direito	O
da	O
USP	B-ORGANIZACAO_INSTITUICAO
.	O
O	O
evento	O
encontra-se	O
disponível	O
em	B-TEMPO_TEMPO_CALEND
fita	O
cassete	O
para	O
os	O
associados	O
regulares	O
do	O
IBAP	O
.	O
A	O
palestra	O
da	O
Professora	O
Walkure	O
Lopes	B-PESSOA_INDIVIDUAL
Ribeiro	I-PESSOA_INDIVIDUAL
da	O
Silva	B-PESSOA_INDIVIDUAL
encontra-se	O
transcrita	O
no	O
volume	O
4	B-TEMPO_TEMPO_CALEND
dos	O
cadernos	O
``	O
Advocacia	O
Pública	B-LOCAL_HUMANO
